trimestre,codice,materia,sul_portale,nuovi_scaricati,gia_locali,gia_sgai,pagine_elaborate,stato
Q4 ott-dic,B070,Imposta sulle assicurazioni,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C020,Imu ex Ici,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B090,Intrattenimenti,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C070,Invim,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B030,Ipotecarie e catastali,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C010,Irap,,0,0,0,0,crash / no ricerca
Q4 ott-dic,A020,Ires (ex Irpeg),,0,0,0,0,crash / no ricerca
Q4 ott-dic,A010,Irpef,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B010,Iva,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C030,Pubblicita e pubbliche affissioni,,0,0,0,0,crash / no ricerca
Q4 ott-dic,H030,Pubblicita immobiliare,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B110,Radiodiffusioni,,0,0,0,0,crash / no ricerca
Q4 ott-dic,D080,Rapporti con l'AF,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B020,Registro,,0,0,0,0,crash / no ricerca
Q4 ott-dic,D030,Rimborsi,,0,0,0,0,crash / no ricerca
Q4 ott-dic,D020,Riscossione,,0,0,0,0,crash / no ricerca
Q4 ott-dic,H020,Servizi estimativi (OMI),,0,0,0,0,crash / no ricerca
Q4 ott-dic,B040,Successioni e donazioni,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C040,Tarsu,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B080,Tassa sui contratti di borsa,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B100,Tasse automobilistiche,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C060,Tosap,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C090,Tributi locali vari,,0,0,0,0,crash / no ricerca
Q4 ott-dic,D050,Violazioni e sanzioni,,0,0,0,0,crash / no ricerca
